I, [2022-01-18T10:44:32.548972 #7074]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.2.2)
E, [2022-01-18T10:44:32.549895 #7074] ERROR -- Kitchen: ------Exception-------
E, [2022-01-18T10:44:32.550116 #7074] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2022-01-18T10:44:32.550330 #7074] ERROR -- Kitchen: Message: Kitchen YAML file /mnt/d/Users/Kevin/Documents/chef/chef-sft/workshops/1_MongoDB/kitchen.yml does not exist.
E, [2022-01-18T10:44:32.550524 #7074] ERROR -- Kitchen: ----------------------
E, [2022-01-18T10:44:32.550718 #7074] ERROR -- Kitchen: ------Backtrace-------
E, [2022-01-18T10:44:32.550901 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2022-01-18T10:44:32.552580 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:153:in `data'
E, [2022-01-18T10:44:32.552840 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:131:in `suites'
E, [2022-01-18T10:44:32.553036 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2022-01-18T10:44:32.553224 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2022-01-18T10:44:32.553398 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/config.rb:116:in `instances'
E, [2022-01-18T10:44:32.553577 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2022-01-18T10:44:32.553746 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2022-01-18T10:44:32.553928 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command/action.rb:34:in `block in call'
E, [2022-01-18T10:44:32.554089 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2022-01-18T10:44:32.554271 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/command/action.rb:33:in `call'
E, [2022-01-18T10:44:32.554612 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/cli.rb:52:in `perform'
E, [2022-01-18T10:44:32.554843 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2022-01-18T10:44:32.555047 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2022-01-18T10:44:32.555239 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-01-18T10:44:32.555433 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2022-01-18T10:44:32.555622 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2022-01-18T10:44:32.555813 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/bin/kitchen:11:in `block in <top (required)>'
E, [2022-01-18T10:44:32.556036 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2022-01-18T10:44:32.556241 #7074] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.2.2/bin/kitchen:11:in `<top (required)>'
E, [2022-01-18T10:44:32.556434 #7074] ERROR -- Kitchen: /usr/bin/kitchen:380:in `load'
E, [2022-01-18T10:44:32.556626 #7074] ERROR -- Kitchen: /usr/bin/kitchen:380:in `<main>'
E, [2022-01-18T10:44:32.556866 #7074] ERROR -- Kitchen: ----End Backtrace-----
